,sublimations_0,sublimations_1,sublimations_2,sublimations_3,sublimations_4,sublimations_5,sublimations_6,sublimations_7,sublimations_8,sublimations_9,sublimations_10,sublimations_11
https://www.zenithwakfu.com/builder/8t0xj,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/usn2k,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/idw7s,Prétention III,Carapace II,Ruine III,Ruine III,Ruine cyclique II,Prétention III,Valeur ajoutée III,Détermination II,Dérobade continue III,Concentration Elémentaire,Alternance,
https://www.zenithwakfu.com/builder/lnlay,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/fth4j,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/zz8tj,,,,,,,,,,,Abnégation,Distribution
https://www.zenithwakfu.com/builder/nhdwv,Carapace II,Embuscade écartée III,Embuscade écartée III,Influence III,Influence III,Sanguinolence III,Poids Plume III,Influence lente III,Ravage III,Gel III,Anatomie,Energie ancestrale
https://www.zenithwakfu.com/builder/cnetv,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/3efgw,Valeur ajoutée I,Ravage II,Ventilation II,Valeur ajoutée I,Ruine II,Courage III,Ventilation II,Ruine II,Ruine II,,,
https://www.zenithwakfu.com/builder/clwrw,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/gyvqe,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/dpfwg,Théorie de la matière II,,,,,,,,,,,
https://www.zenithwakfu.com/builder/nzomj,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/xmgqi,Influence III,Destruction III,Influence III,Force vitale II,Destruction III,Tellurisme III,Ventilation III,Embuscade III,Ravage III,Influence lente III,Anatomie,Directives
https://www.zenithwakfu.com/builder/katiu,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/9wt8i,Embuscade III,Poids Plume III,Préparation critique III,Influence III,Influence III,Dérobade continue III,Dérobade continue III,Contre-attaque III,Contre-attaque III,Ravage III,Mesure III,Aura de Flammes
https://www.zenithwakfu.com/builder/vg43k,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/6lccl,Influence I,Influence I,Influence du Wakfu I,Retour d'Armure II,Ravage I,Retour vital I,Influence du Wakfu I,Influence lente I,,Influence lente I,,
https://www.zenithwakfu.com/builder/v1jcj,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/xpnfz,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/eqvyf,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/ykmxf,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/goq4k,Ambition III,Ambition III,Expert des armes légères III,Neutralité II,Neutralité II,,Expert des armes légères III,Abandon II,Abandon II,Abandon II,,
https://www.zenithwakfu.com/builder/thk2k,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/epuul,Carapace II,Théorie de la matière II,Abandon II,Prétention III,Prétention III,Cicatrisation III,Vélocité II,Cicatrisation III,Abandon II,Tolérance II,Force Herculéenne,
https://www.zenithwakfu.com/builder/b8kkh,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/v0sjs,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/nr7jx,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/ayt60,,Contre-attaque III,,,,,Contre-attaque III,,,,Constance II,Aura de Flammes
https://www.zenithwakfu.com/builder/mizfs,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/yhejt,,,Carapace II,,,,,,Démesuré,,,
https://www.zenithwakfu.com/builder/cn1pk,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/hpp1v,Ruine III,Force vitale II,Carapace II,Influence III,Influence III,Ruine cyclique II,Valeur ajoutée III,Agilité vitale II,Ruine III,Influence du Wakfu II,Concentration Elémentaire,Calibrage
https://www.zenithwakfu.com/builder/scksh,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/y3ubg,Contre-attaque III,,,Ruine cyclique II,Ruine III,,,,,,Constance II,Aura de Flammes
https://www.zenithwakfu.com/builder/szhap,Cicatrisation III,Ravage III,Force vitale II,,Poids Plume III,Cicatrisation III,Carapace II,Tolérance II,Ruine III,Ruine III,Concentration Elémentaire,
https://www.zenithwakfu.com/builder/hhd3q,,Carapace II,,,,,,,,,Constance II,Aura de Flammes
https://www.zenithwakfu.com/builder/oos9s,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/imnn5,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/2phh0,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/e1iii,,,,Influence III,Influence III,Ravage II,,Ravage II,Puissance brute II,Puissance brute II,Anatomie,
https://www.zenithwakfu.com/builder/pwaaw,,Contre-attaque III,,,,,Contre-attaque III,,,,,Aura de Flammes
https://www.zenithwakfu.com/builder/hrkpg,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/1wwkh,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/thuww,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/20iyb,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/qo6uq,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/stc2g,Contre-attaque III,Ruine III,Carapace II,Cicatrisation III,Valeur ajoutée III,Ruine III,Contre-attaque III,Courage III,Ravage III,Courage III,Constance II,Aura de Flammes
https://www.zenithwakfu.com/builder/zbnpe,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/uxgzp,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/mps65,Influence du Wakfu II,Embuscade III,Embuscade III,Force vitale II,,Ravage III,Influence vitale III,Destruction III,Destruction III,Influence vitale III,,
https://www.zenithwakfu.com/builder/hruvj,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/gl4xq,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/1wljo,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/5hoyc,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/8yd1r,Enveloppe rocheuse III,Enveloppe rocheuse III,Secret de la vie II,Agilité vitale II,Force vitale II,Influence vitale III,Carapace II,Ravage III,Influence du Wakfu II,Influence III,Engagement,Sentinelle
https://www.zenithwakfu.com/builder/nx0pl,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/ml5mu,Expert des armes légères III,Expert des armes légères III,Temporisation III,Brûlure III,Ventilation III,,Influence du Wakfu II,Parade Berserk III,Ravage III,Parade Berserk III,,
https://www.zenithwakfu.com/builder/7pswa,Contre-attaque III,Ruine III,Carapace II,Valeur ajoutée III,Ruine III,Apprêt III,Contre-attaque III,Apprêt III,Barrière Mêlée II,Cicatrisation III,Constance II,Aura de Flammes
https://www.zenithwakfu.com/builder/netas,Contre-attaque III,Ruine III,Embuscade III,Précaution III,Contre-attaque III,Ruine III,Sauvegarde II,Embuscade III,Influence lente II,Armure lourde II,Brutalité,Aura de Flammes
https://www.zenithwakfu.com/builder/mluhq,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/zrfrr,Carapace II,,,,,Cicatrisation III,Cicatrisation III,,Ravage III,,Concentration Elémentaire,
https://www.zenithwakfu.com/builder/yelc7,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/5pusl,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/8mfq0,Brûlure III,Ravage secondaire II,Tacle Berserk III,Dévastation III,Poids Plume III,Embuscade III,Ténacité II,Ravage III,Rupture PA II,,,
https://www.zenithwakfu.com/builder/tnjno,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/u2ots,Influence I,Influence I,Influence I,Influence du Wakfu I,Influence vitale I,Influence vitale I,Puissance brute I,,,,,
https://www.zenithwakfu.com/builder/erkxr,Expert des armes légères III,Ruine II,,,,Ruine II,Expert des armes légères III,,,,,
https://www.zenithwakfu.com/builder/719dw,Ventilation III,,,Influence du Wakfu II,,,,,,,,
https://www.zenithwakfu.com/builder/gg4kw,Embuscade III,Expert des armes légères III,Embuscade III,Apprêt III,Influence III,Apprêt III,Expert des armes légères III,Influence III,Influence lente III,Solidité II,,
https://www.zenithwakfu.com/builder/3k5dj,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/gfwhu,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/egc2e,,Ravage II,Carapace II,,,,,Embuscade écartée III,Ravage II,,,
https://www.zenithwakfu.com/builder/ryu5g,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/pf5oe,Cicatrisation III,Ruine III,Puissance brute III,Influence III,Influence lente III,Force vitale II,Carapace II,Influence III,Ruine III,Ravage III,Concentration Elémentaire,Lunatique
https://www.zenithwakfu.com/builder/3j1fg,Influence vitale III,Influence du Wakfu II,Puissance brute III,Influence III,Influence lente III,Force vitale II,Carapace II,Influence III,Influence vitale III,Ravage III,Maniement : Deux mains,Lunatique
https://www.zenithwakfu.com/builder/z2yvq,Influence vitale III,Influence du Wakfu II,Puissance brute III,Influence III,Influence lente III,Force vitale II,Carapace II,Influence III,Influence vitale III,Ravage III,Maniement : Deux mains,Lunatique
https://www.zenithwakfu.com/builder/k9rfk,Influence vitale III,Influence du Wakfu II,Puissance brute III,Influence III,Influence lente III,Force vitale II,Carapace II,Influence III,Influence vitale III,Ravage III,Maniement : Deux mains,Lunatique
https://www.zenithwakfu.com/builder/ft8u9,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/8w6pq,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/tz4ro,Brûlure III,Retour PA II,Force vitale II,Influence du Wakfu II,Ravage III,Influence vitale III,Carapace II,Puissance brute II,Persistance II,Retour PA II,Maniement : Deux mains,
https://www.zenithwakfu.com/builder/jyyct,Influence vitale III,Influence du Wakfu II,Influence III,Force vitale II,Carapace II,Influence III,Influence vitale III,,Dénouement,Lunatique,,
https://www.zenithwakfu.com/builder/btbkm,Influence vitale III,Influence du Wakfu II,Puissance brute III,Influence III,Influence lente III,Force vitale II,Carapace II,Influence III,Influence vitale III,Ravage III,Maniement : Deux mains,Lunatique
https://www.zenithwakfu.com/builder/6n59r,Poids Plume III,Sanguinolence III,Carapace II,Profit II,Profit II,Profit II,Force vitale II,Ravage III,Influence III,Influence III,Inflexibilité,Pétulance
https://www.zenithwakfu.com/builder/iqrnr,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/njov4,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/wp9gg,Brûlure III,Retour PA II,Force vitale II,Influence du Wakfu II,Ravage III,Influence vitale III,Carapace II,Puissance brute II,Persistance II,Retour PA II,Concentration Elémentaire,
https://www.zenithwakfu.com/builder/qhoz5,Brûlure III,Retour PA II,Force vitale II,Influence du Wakfu II,Ravage III,Influence vitale III,Carapace II,Puissance brute II,Persistance II,Retour PA II,Concentration Elémentaire,
https://www.zenithwakfu.com/builder/44haw,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/l82vx,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/ycpe2,,,,,,,,,,,Anatomie,Brasero
https://www.zenithwakfu.com/builder/rjz5a,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/erey3,Embuscade écartée III,Sanguinolence III,Carapace II,Retour d'Armure II,Embuscade écartée III,Influence lente III,Poids Plume III,Influence III,Représailles III,Ravage III,Inflexibilité,
https://www.zenithwakfu.com/builder/craav,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/paftu,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/js4ab,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/g4oio,Carapace II,Prétention III,Enveloppe rocheuse III,Prétention III,Théorie de la matière II,Vélocité II,Abandon II,Abandon II,Abandon II,Allocentrisme III,Force Herculéenne,Longévité
https://www.zenithwakfu.com/builder/ubr8z,Ruine III,Ruine III,Dimensionnalité II,Influence vitale III,Influence vitale III,Influence III,Force vitale II,Influence III,Ravage II,Ravage II,Force Herculéenne,
https://www.zenithwakfu.com/builder/cxxnt,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/oo94a,Ruine III,Ruine III,Dimensionnalité II,Influence vitale III,Influence vitale III,Influence III,Force vitale II,Influence III,Ravage II,Ravage II,Force Herculéenne,
https://www.zenithwakfu.com/builder/nzba7,Tellurisme III,Puissance brute III,Influence du Wakfu II,Verrouillage III,Verrouillage III,Sauvegarde II,Tellurisme secondaire III,Carapace II,Force vitale II,Neutralité III,Dénouement,Alternance
https://www.zenithwakfu.com/builder/slupk,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/bgnov,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/kf0wg,,Influence III,,,,,,Ravage III,,Ravage III,Mesure,
https://www.zenithwakfu.com/builder/sqtlh,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/8l40y,Cicatrisation III,Ruine III,Carapace II,Valeur ajoutée III,Contre-attaque III,Ruine III,Contre-attaque III,,Précaution III,Cicatrisation III,Constance II,Aura de Flammes
https://www.zenithwakfu.com/builder/iivrb,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/3ceue,Ruine III,Force vitale II,Ventilation III,Agilité vitale II,Représailles III,Ruine III,Carapace II,Valeur ajoutée III,Ravage III,Ruine cyclique II,Concentration Elémentaire,Calibrage II
https://www.zenithwakfu.com/builder/kso8o,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/bnl24,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/wninm,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/etmp9,,,Carapace II,,,,,,,,Dénouement,Alternance
https://www.zenithwakfu.com/builder/lfy5z,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/dsuab,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/u86tt,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/ars0s,Poids Plume II,Poids Plume II,Carapace II,Ravage II,Influence III,Armure lourde II,Sauvegarde du Wakfu II,Ravage II,Force vitale II,Influence III,Concentration Elémentaire,
https://www.zenithwakfu.com/builder/qzcb0,,,,,,,,,,,Dénouement,
https://www.zenithwakfu.com/builder/i3jvw,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/wywzz,Neutralité III,Abandon II,Abandon II,Tellurisme III,Brûlure III,Ambition III,Ambition III,Carnage III,Carnage III,Puissance brute III,Dénouement,Par-delà la barrière
https://www.zenithwakfu.com/builder/si1e0,Cicatrisation II,Cicatrisation II,Critique Berserk III,Carapace II,Influence II,Influence III,Cicatrisation II,Armure lourde II,Ravage II,Furie,,
https://www.zenithwakfu.com/builder/uqs8z,Expert des armes légères III,Expert des armes légères III,Ruine III,Ruine III,Expert des Coups critiques III,Influence lente III,Ruine cyclique II,Barrière Mêlée III,Valeur ajoutée III,Carapace II,Démesuré,Sentinelle
https://www.zenithwakfu.com/builder/nqwj0,Embuscade III,Critique Berserk III,Embuscade III,Armure lourde II,Influence III,Wakfu Berserk III,Brûlure III,Ravage III,Critique Berserk III,Influence III,,
https://www.zenithwakfu.com/builder/vjdlz,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/jcg3s,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/11xat,,Profit II,Agilité vitale II,,Influence II,Sanguinolence III,Cicatrisation III,Influence I,Influence lente III,,Inflexibilité,
https://www.zenithwakfu.com/builder/j7s1k,Influence I,,,,,,,,Longueur I,,,
https://www.zenithwakfu.com/builder/zzpdw,Armure lourde II,Retour PA II,Influence III,Force vitale II,Retour PA II,Sauvegarde II,Sauvegarde II,Puissance brute I,Influence du Wakfu II,Influence III,,
https://www.zenithwakfu.com/builder/wzz76,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/hzxct,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/yc0ux,Retour PA II,Retour PA II,Armure lourde II,Influence vitale III,Influence vitale III,Influence lente III,Wakfu Berserk III,Retour vital II,Visibilité II,Barrière Distance III,Elémentalisme,Par-delà la barrière
https://www.zenithwakfu.com/builder/kpxwx,Expert des armes légères III,Expert des armes légères III,Carapace II,Sauvegarde II,Ravage III,Ravage III,Barrière Mêlée III,Barrière Distance III,Vision intermédiaire III,Vision intermédiaire III,Elémentalisme,Alternance
https://www.zenithwakfu.com/builder/sxenu,Carapace II,Ravage III,Dernières résistances III,Dernières résistances III,Ravage III,Ruine III,Ruine III,Ruine cyclique II,Contre-attaque III,Contre-attaque III,Constance,Aura de Flammes
https://www.zenithwakfu.com/builder/sg3vb,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/owysh,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/p50n4,,,,,,,,,,,,Stasification
https://www.zenithwakfu.com/builder/bwb61,Cicatrisation III,Tolérance II,Dimensionnalité II,Vélocité II,Abandon II,Cicatrisation III,Prétention III,Dévastation III,Prétention II,Expert des Parades II,Maniement : Bouclier,Empressement
https://www.zenithwakfu.com/builder/meg1f,Barrière Mêlée III,Retour vital II,Arcanes III,Bouclier critique III,Cicatrisation III,Bouclier dorsal III,Dérobade III,Conservation III,Barrière Distance III,Epines III,,
https://www.zenithwakfu.com/builder/7p4an,Neutralité III,Ambition III,Influence III,Ambition III,Neutralité III,Abandon II,Visibilité II,Dévastation III,Influence III,Abandon II,Concentration Elémentaire,Par-delà la barrière
https://www.zenithwakfu.com/builder/oqfqc,,,,Expert des armes légères III,Expert des armes légères III,,,,,,Elémentalisme,Alternance
https://www.zenithwakfu.com/builder/xd8gm,Retour PA II,Sauvegarde II,Retour d'Armure II,Puissance brute III,Retour vital II,Retour d'Armure II,Influence du Wakfu II,Retour PA II,Sauvegarde II,Sauvegarde II,Inflexibilité,Hypermétrope
https://www.zenithwakfu.com/builder/rxkwr,Cicatrisation III,Cicatrisation III,,,,,,,,,Concentration Elémentaire,Sentinelle
https://www.zenithwakfu.com/builder/kp7lt,Abandon II,Cicatrisation II,Sauvegarde du Wakfu II,Vélocité II,Cicatrisation II,Interception III,Abandon II,Carapace II,Prétention III,Tolérance II,Force Herculéenne,Paisible
https://www.zenithwakfu.com/builder/tycer,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/xql6t,Influence du Wakfu I,,,,,,,Influence III,,,,
https://www.zenithwakfu.com/builder/4gyih,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/yeljw,Cicatrisation III,Ventilation III,Embuscade III,Manie III,Influence III,Cicatrisation III,Brûlure secondaire III,Embuscade III,Ravage III,Influence III,Mesure,Brasero
https://www.zenithwakfu.com/builder/0y4dv,Influence du Wakfu I,Influence du Wakfu I,Brûlure I,Influence vitale II,Influence vitale II,Influence vitale II,Brûlure I,,Brûlure I,,Maniement : Dague,Lunatique
https://www.zenithwakfu.com/builder/lcwu3,Ventilation II,Expert des armes légères II,Carapace sanguine III,Sauvegarde II,Sauvegarde II,Expert des armes légères II,Expert des armes légères II,Critique Berserk II,Critique Berserk II,Critique Berserk II,,
https://www.zenithwakfu.com/builder/xpd7q,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/zgo4z,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/is61k,Ravage I,Brûlure I,,Ravage I,Ravage I,Ravage I,,,Brûlure I,Brûlure I,,
https://www.zenithwakfu.com/builder/y4vk6,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/xszre,Temporisation II,Temporisation II,Poids Plume II,Poids Plume II,Influence du Wakfu II,Retour d'Armure II,Retour d'Armure II,Ravage III,Influence II,Influence III,,Stasification
https://www.zenithwakfu.com/builder/ghtmn,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/1b57h,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/og4lj,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/ww37y,,,,,Longueur I,,,,,,Inflexibilité,Hypermétrope
https://www.zenithwakfu.com/builder/sdp2n,Brûlure II,Puissance brute I,Retour PA II,Influence II,Influence II,Retour PA II,Brûlure II,Influence II,Persistance II,Influence lente II,Concentration Elémentaire,Lunatique
https://www.zenithwakfu.com/builder/6eivd,Précaution III,Critique Berserk II,Critique Berserk II,Propagation III,Critique Berserk II,Propagation I,Ravage I,Ravage I,Ravage I,Ravage I,,
https://www.zenithwakfu.com/builder/xxkou,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/781y0,Mesure III,,,,,,,,,,,
https://www.zenithwakfu.com/builder/qgliu,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/jjy0z,Abandon II,Abandon II,Abandon II,Neutralité III,Ambition III,Force vitale II,Ambition III,Vivacité II,Préparation critique III,Dévastation III,Concentration Elémentaire,Alternance II
https://www.zenithwakfu.com/builder/zjb8n,,,,,Influence lente I,,,,Influence lente I,,,
https://www.zenithwakfu.com/builder/u8ql2,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/qdv2m,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/jbfd5,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/q6lwq,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/2hbgs,Carapace II,Enveloppe rocheuse II,Cicatrisation III,Abandon II,Abandon II,,Enveloppe rocheuse II,Secret de la vie II,Allocentrisme II,Cicatrisation III,,
https://www.zenithwakfu.com/builder/kzirn,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/crvrt,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/15epm,Poids Plume II,Poids Plume II,Carapace II,Verrouillage III,Brûlure III,Ravage III,Verrouillage III,Influence III,Force vitale II,Influence III,Maniement : Deux mains,Par-delà la barrière
https://www.zenithwakfu.com/builder/rrgkl,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/wvxpf,,,Dévastation I,Dévastation I,Dévastation I,Poids Plume I,,,Ravage I,,,
https://www.zenithwakfu.com/builder/e6kyj,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/nfphq,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/zkdrb,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/bzmx1,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/rdswc,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/uk1ld,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/mbmnu,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/e5q04,Influence du Wakfu II,,,Influence II,Influence II,,Influence II,,,,,
https://www.zenithwakfu.com/builder/nlorh,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/c0tam,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/mcsge,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/7scyr,Brûlure III,Brûlure III,Dernier souffle III,Critique Berserk III,Embuscade III,Cicatrisation III,Cicatrisation III,Carapace sanguine III,Critique Berserk III,Embuscade III,,
https://www.zenithwakfu.com/builder/b7efn,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/j3mvr,,,,,,,Poids Plume III,Ravage III,Carapace II,Puissance brute III,Démesuré,
https://www.zenithwakfu.com/builder/x8iu5,Cicatrisation II,Enveloppe rocheuse II,Expert des armes légères III,Allocentrisme II,Allocentrisme II,Solidité II,Enveloppe rocheuse II,Expert des armes légères III,Ravage II,Carapace II,Précision chirurgicale,Robuste
https://www.zenithwakfu.com/builder/qqvs7,Poids Plume III,Sanguinolence III,Profit II,Influence III,Influence III,Influence lente III,Profit II,Influence vitale III,Profit II,Influence vitale III,Inflexibilité,Par-delà la barrière
https://www.zenithwakfu.com/builder/7blvv,Poids Plume II,Poids Plume II,Carapace II,Sauvegarde du Wakfu II,Cicatrisation III,Ravage II,Armure lourde II,Ravage II,Influence III,Influence III,Concentration Elémentaire,
https://www.zenithwakfu.com/builder/lzk5a,Poids Plume III,,Profit II,,,Sanguinolence III,Carapace II,Ravage III,,,,
https://www.zenithwakfu.com/builder/ajihg,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/io2rb,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/msbiv,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/era3h,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/qbj9o,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/pm5qd,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/hqhhq,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/gaagt,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/0uhs6,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/4pfjb,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/gj140,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/k9hp3,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/7mq7q,Poids Plume II,Poids Plume II,Carapace II,Sauvegarde du Wakfu II,Force vitale II,Ravage II,Armure lourde II,Ravage II,Influence III,Influence III,Concentration Elémentaire,
https://www.zenithwakfu.com/builder/zdj4v,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/hlynj,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/a2pni,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/ju4li,Poids Plume I,Dévastation I,Embuscade écartée I,Dévastation I,Dévastation I,,,Barrière Mêlée I,Ravage I,Ravage I,,
https://www.zenithwakfu.com/builder/cwkut,Ruine III,Retour enflammé I,Contre-attaque III,Courage III,Cicatrisation II,Ruine III,Cicatrisation II,Carapace II,Contre-attaque III,Courage III,Constance II,Aura de Flammes
https://www.zenithwakfu.com/builder/ephg6,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/trpjm,Poids Plume II,,Force vitale II,Ravage II,Tellurisme III,,Poids Plume II,,Tellurisme III,,,
https://www.zenithwakfu.com/builder/vscif,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/op6bb,Brûlure III,Vivacité II,Retour PA II,Critique Berserk III,Stupéfaction III,Retour PA II,Force vitale II,Puissance brute III,Influence du Wakfu II,Ravage III,Mesure III,Lunatique
https://www.zenithwakfu.com/builder/hr5s2,,,,,,,,,,,Pilier II,
https://www.zenithwakfu.com/builder/bjjvw,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/gfexr,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/k9z39,,,,,,,,,Ravage III,,Mesure III,Par-delà la barrière
https://www.zenithwakfu.com/builder/5o5nn,Expert des armes légères II,Ruine II,Agilité vitale II,Force vitale II,,,,,,,,
https://www.zenithwakfu.com/builder/mx7gs,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/miuy7,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/lluhu,Retour PA II,Retour PA II,Influence du Wakfu II,Influence lente II,Relations sociales III,Puissance brute I,Influence III,Relations sociales III,Carnage III,Influence lente II,Concentration Elémentaire,Energie ancestrale
https://www.zenithwakfu.com/builder/qcr45,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/ffmdo,,,,,Vélocité II,,,,,,,Distribution
https://www.zenithwakfu.com/builder/o7l8p,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/9za7y,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/hvic4,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/hsym9,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/oqwku,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/pbvk8,Puissance brute III,Poids Plume III,Destruction III,Destruction III,Influence III,Influence III,Influence vitale III,Influence vitale III,Influence du Wakfu II,Sanguinolence III,Anatomie,Par-delà la barrière
https://www.zenithwakfu.com/builder/gilj7,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/hjuap,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/ppfwj,,,,,,,,,,,Mesure III,Lunatique
https://www.zenithwakfu.com/builder/bue8r,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/fabuh,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/audbn,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/94zvd,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/o3jkc,,,,,,,,,,,,
